Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp,ArticleNumber,MediaPath,NumFigures
VIS,2021,Bayesian Modelling of Alluvial Diagram Complexity,10.1109/VIS49827.2021.9623282,http://dx.doi.org/10.1109/VIS49827.2021.9623282,51,55,C,"Alluvial diagrams are a popular technique for visualizing flow and relational data. However, successfully reading and interpreting the data shown in an alluvial diagram is likely influenced by factors such as data volume, complexity, and chart layout. To understand how alluvial diagram consumption is impacted by its visual features, we conduct two crowdsourced user studies with a set of alluvial diagrams of varying complexity, and examine (i) participant performance on analysis tasks, and (ii) the perceived complexity of the charts. Using the study results, we employ Bayesian modelling to predict participant classification of diagram complexity. We find that, while multiple visual features are important in contributing to alluvial diagram complexity, interestingly the importance of features seems to depend on the type of complexity being modeled, i.e. task complexity vs. perceived complexity.",Anjana Arunkumar;Shashank Ginjpalli;Chris Bryan,Anjana Arunkumar;Shashank Ginjpalli;Chris Bryan,Arizona State University;Arizona State University;Arizona State University,,"Human-centered computing,Visualization,Visualization techniques,Empirical studies in visualization",,,34,,,,9623282,/mediastore/IEEE/content/media/9622895/9623263/9623282,7
VIS,2021,"When Red Means Good, Bad, or Canada: Exploring People’s Reasoning for Choosing Color Palettes",10.1109/VIS49827.2021.9623314,http://dx.doi.org/10.1109/VIS49827.2021.9623314,56,60,C,"Color palette selection is an essential aspect of visualization design, influencing data interpretation and evoking emotions in the viewer. Rules of thumb grounded in perceptual science and visual arts generally form the basis of recommendation tools to support color assignment, but palette design is more nuanced than optimizing for perceptual tasks. In this work, we investigate how the general public reconciles the varied facets of color design in visualization. Does their decision-making align with established rules of thumb? What factors do they take into consideration? Through a crowd-sourced study with 63 participants, we find that the majority of palette choices are perceptually motivated, but other factors such as semantic associations and bias also play a role. We identify some flaws in participant reasoning, highlight clashes in opinions, and present some implications for future work in this space.",Jarryullah Ahmad;Elaine Huynh;Fanny Chevalier,Jarryullah Ahmad;Elaine Huynh;Fanny Chevalier,University of Toronto;University of Toronto;University of Toronto,,"Color,General Public,Human Subjects Qualitative Studies",,,37,,,,9623314,/mediastore/IEEE/content/media/9622895/9623263/9623314,3
VIS,2021,Does the Layout Really Matter? A Study on Visual Model Accuracy Estimation,10.1109/VIS49827.2021.9623326,http://dx.doi.org/10.1109/VIS49827.2021.9623326,61,65,C,"In visual interactive labeling, users iteratively assign labels to data items until the machine model reaches an acceptable accuracy. A crucial step of this process is to inspect the model’s accuracy and decide whether it is necessary to label additional elements. In scenarios with no or very little labeled data, visual inspection of the predictions is required. Similarity-preserving scatterplots created through a dimensionality reduction algorithm are a common visualization that is used in these cases. Previous studies investigated the effects of layout and image complexity on tasks like labeling. However, model evaluation has not been studied systematically. We present the results of an experiment studying the influence of image complexity and visual grouping of images on model accuracy estimation. We found that users outperform traditional automated approaches when estimating a model’s accuracy. Furthermore, while the complexity of images impacts the overall performance, the layout of the items in the plot has little to no effect on estimations.",Nicolas Grossmann;Jürgen Bernard;Michael Sedlmair;Manuela Waldner,Nicolas Grossmann;Jürgen Bernard;Michael Sedlmair;Manuela Waldner,TU Wien;University of Zurich;University of Stuttgart;TU Wien,,"Human-centered computing,Visualization,Empirical studies in visualization Human-centered computing,Visualization design and evaluation methods",,,22,,,,9623326,/mediastore/IEEE/content/media/9622895/9623263/9623326,3
VIS,2021,Histogram binning revisited with a focus on human perception,10.1109/VIS49827.2021.9623301,http://dx.doi.org/10.1109/VIS49827.2021.9623301,66,70,C,"This paper presents a quantitative user study to evaluate how well users can visually perceive the underlying data distribution from a histogram representation. We used different sample and bin sizes and four different distributions (uniform, normal, bimodal, and gamma). The study results confirm that, in general, more bins correlate with fewer errors by the viewers. However, upon a certain number of bins, the error rate cannot be improved by adding more bins. By comparing our study results with the outcomes of existing mathematical models for histogram binning (e.g., Sturges’ formula, Scott’s normal reference rule, the Rice Rule, or Freedman–Diaconis’ choice), we can see that most of them overestimate the number of bins necessary to make the distribution visible to a human viewer.",Raphael Sahann;Torsten Müller;Johanna Schmidt,Raphael Sahann;Torsten Müller;Johanna Schmidt,"Faculty of Computer Science, University of Vienna, Austria;Faculty of Computer Science, Data Science @ Uni Vienna, University of Vienna, Austria;VRVis Zentrum für Virtual Reality und Visualisierung Forschungs-GmbH, Austria",,"empirical studies in visualization,histogram binning",,,26,,,,9623301,/mediastore/IEEE/content/media/9622895/9623263/9623301,5
VIS,2021,"Jurassic Mark: Inattentional Blindness for a Datasaurus Reveals that Visualizations are Explored, not Seen",10.1109/VIS49827.2021.9623273,http://dx.doi.org/10.1109/VIS49827.2021.9623273,71,75,C,"Graphs effectively communicate data because they capitalize on the visual system’s ability to rapidly extract patterns. Yet, this pattern extraction does not occur in a single glance. Instead, research on visual attention suggests that the visual system iteratively applies a sequence of filtering operations on an image, extracting patterns from subsets of visual information over time, while selectively inhibiting other information at each of these moments. To demonstrate that this powerful series of filtering operations also occurs during the perception of visualized data, we designed a task where participants made judgments from one class of marks on a scatterplot, presumably incentivizing them to relatively ignore other classes of marks. Participants consistently missed a conspicuous dinosaur in the ignored collection of marks (93% for a 1s presentation, and 61% for 2.5s), but not in a control condition where the incentive to ignore that collection was removed (25% for a 1s presentation, and 11% for 2.5s), revealing that data visualizations are not “seen” in a single glance, and instead require an active process of exploration.",Tal Boger;Steven B. Most;Steven L. Franconeri,Tal Boger;Steven B. Most;Steven L. Franconeri,Yale University;UNSW Sydney;Northwestern University,,"perception & cognition,attention,communcation/presentation",,,37,,,,9623273,/mediastore/IEEE/content/media/9622895/9623263/9623273,3
VIS,2021,Fixation and Creativity in Data Visualization Design: Experiences and Perspectives of Practitioners,10.1109/VIS49827.2021.9623297,http://dx.doi.org/10.1109/VIS49827.2021.9623297,76,80,C,"Data visualization design often requires creativity, and research is needed to understand its nature and means for promoting it. The current visualization literature on creativity is not well developed, especially with respect to the experiences of professional data visualization designers. We conducted semi-structured interviews with 15 data visualization practitioners, focusing on a specific aspect of creativity known as design fixation. Fixation occurs when designers adhere blindly or prematurely to a set of ideas that limit creative outcomes. We present practitioners’ experiences and perspectives from their own design practice, specifically focusing on their views of (i) the nature of fixation, (ii) factors encouraging fixation, and (iii) factors discouraging fixation. We identify opportunities for future research related to chart recommendations, inspiration, and perspective shifts in data visualization design.",Paul Parsons;Prakash Shukla;Chorong Park,Paul Parsons;Prakash Shukla;Chorong Park,Purdue University;Purdue University;Purdue University,,"Human-centered computing,Visualization",,,53,,,,9623297,/mediastore/IEEE/content/media/9622895/9623263/9623297,0
VIS,2021,Towards a Survey on Static and Dynamic Hypergraph Visualizations,10.1109/VIS49827.2021.9623305,http://dx.doi.org/10.1109/VIS49827.2021.9623305,81,85,C,"Leveraging hypergraph structures to model advanced processes has gained much attention over the last few years in many areas, ranging from protein-interaction in computational biology to image retrieval using machine learning. Hypergraph models can provide a more accurate representation of the underlying processes while reducing the overall number of links compared to regular representations. However, interactive visualization methods for hypergraphs and hypergraph-based models have rarely been explored or systematically analyzed. This paper reviews the existing research landscape for hypergraph and hypergraph model visualizations and assesses the currently employed techniques. We provide an overview and a categorization of proposed approaches, focusing on performance, scalability, interaction support, successful evaluation, and the ability to represent different underlying data structures, including a recent demand for a temporal representation of interaction networks and their improvements beyond graph-based methods. Lastly, we discuss the strengths and weaknesses of the approaches and give an insight into the future challenges arising in this emerging research field.",Maximilian T. Fischer;Alexander Frings;Daniel A. Keim;Daniel Seebacher,Maximilian T. Fischer;Alexander Frings;Daniel A. Keim;Daniel Seebacher,"University of Konstanz, Germany;University of Konstanz, Germany;University of Konstanz, Germany;University of Konstanz, Germany",,"Hypergraphs,hypergraph model,temporal,visualization,visual analytics,survey",,,45,,,,9623305,/mediastore/IEEE/content/media/9622895/9623263/9623305,1
VIS,2021,Time-Varying Fuzzy Contour Trees,10.1109/VIS49827.2021.9623286,http://dx.doi.org/10.1109/VIS49827.2021.9623286,86,90,C,"We present a holistic, topology-based visualization technique for spatial time series data based on an adaptation of Fuzzy Contour Trees. Common analysis approaches for time dependent scalar fields identify and track specific features. To give a more general overview of the data, we extend Fuzzy Contour Trees, from the visualization and simultaneous analysis of the topology of multiple scalar fields, to time dependent scalar fields. The resulting time-varying Fuzzy Contour Trees allow the comparison of multiple time steps that are not required to be consecutive. We provide specific interaction and navigation possibilities that allow the exploration of individual time steps and time windows in addition to the behavior of the contour trees over all time steps. To achieve this, we reduce an existing alignment to multiple sub-alignments and adapt the Fuzzy Contour Tree-layout to continuously reflect changes and similarities in the sub-alignments. We apply time-varying Fuzzy Contour Trees to different real-world data sets and demonstrate their usefulness.",Anna-Pia Lohfink;Frederike Gartzky;Florian Wetzels;Luisa Vollmer;Christoph Garth,Anna-Pia Lohfink;Frederike Gartzky;Florian Wetzels;Luisa Vollmer;Christoph Garth,"Technische Universität Kaiserslautern, Germany;Technische Universität Kaiserslautern, Germany;Technische Universität Kaiserslautern, Germany;Technische Universität Kaiserslautern, Germany;Technische Universität Kaiserslautern, Germany",,"Human-centered computing,Visualization,Visualization techniques,Treemaps,Visualization design and evaluation methods",,,15,,,,9623286,/mediastore/IEEE/content/media/9622895/9623263/9623286,10
VIS,2021,Ray-traced Shell Traversal of Tetrahedral Meshes for Direct Volume Visualization,10.1109/VIS49827.2021.9623298,http://dx.doi.org/10.1109/VIS49827.2021.9623298,91,95,C,"A well-known method for rendering unstructured volumetric data is tetrahedral marching (tet marching), where rays are marched through a series of tetrahedral elements. Rowever, existing tet marching techniques do not easily generalize to rays with arbitrary origin and direction required for advanced shading effects or non-convex meshes. Additionally, the memory footprint of these methods may exceed GPU memory limits. Interactive performance and high image quality are opposing goals. Our approach significantly lowers the burden to render unstructured datasets with high image fidelity while maintaining real-time and interactive performance even for large datasets. To this end, we leverage hardware-accelerated ray tracing to find entry and exit faces for a given ray into a volume and utilize a compact mesh representation to enable the efficient marching of arbitrary rays, thus allowing for advanced shading effects that ultimately yields more convincing and grounded images. Our approach is also robust, supporting both convex and non-convex unstructured meshes. We show that our method achieves interactive rates even with moderately-sized datasets while secondary effects are applied.",Alper Şahıstan;Serkan Demirci;Nathan Morrical;Stefan Zellmann;Aytek Aman;Ingo Wald;Uğur Güdükbay,Alper Şahıstan;Serkan Demirci;Nathan Morrical;Stefan Zellmann;Aytek Aman;Ingo Wald;Uğur Güdükbay,Bilkent University;Bilkent University;University of Utah;University of Cologne;Bilkent University;NVIDIA Corporation;Bilkent University,,"Human-centered computing,Visualization,Visualization application domains,Scientific visualization,Computing methodologies,Computer Graphics,Rendering,Ray Tracing",,,24,,,,9623298,/mediastore/IEEE/content/media/9622895/9623263/9623298,6
VIS,2021,Segmentation Driven Peeling for Visual Analysis of Electronic Transitions,10.1109/VIS49827.2021.9623300,http://dx.doi.org/10.1109/VIS49827.2021.9623300,96,100,C,"Electronic transitions in molecules due to absorption or emission of light is a complex quantum mechanical process. Their study plays an important role in the design of novel materials. A common yet challenging task in the study is to determine the nature of those electronic transitions, i.e. which subgroups of the molecule are involved in the transition by donating or accepting electrons, followed by an investigation of the variation in the donor-acceptor behavior for different transitions or conformations of the molecules. In this paper, we present a novel approach towards the study of electronic transitions based on the visual analysis of a bivariate field, namely the electron density in the hole and particle Natural Transition Orbital (NTO). The visual analysis focuses on the continuous scatter plots (CSPs) of the bivariate field linked to their spatial domain. The method supports selections in the CSP visualized as fiber surfaces in the spatial domain, the grouping of atoms, and segmentation of the density fields to peel the CSP. This peeling operator is central to the visual analysis process and helps identify donors and acceptors. We study different molecular systems, identifying local excitation and charge transfer excitations to demonstrate the utility of the method.",Mohit Sharma;Talha Bin Masood;Signe S. Thygesen;Mathieu Linares;Ingrid Hotz;Vijay Natarajan,Mohit Sharma;Talha Bin Masood;Signe S. Thygesen;Mathieu Linares;Ingrid Hotz;Vijay Natarajan,"Indian Institute of Science, Bangalore, India;Department of Science and Technology (ITN), Linköping University, Norrköping, Sweden;Department of Science and Technology (ITN), Linköping University, Norrköping, Sweden;Department of Science and Technology (ITN), Linköping University, Norrköping, Sweden;Department of Science and Technology (ITN), Linköping University, Norrköping, Sweden;Indian Institute of Science, Bangalore, India",,"Human-centered computing,Visualization,Visualization application domains,Scientific visualization",,,22,,,,9623300,/mediastore/IEEE/content/media/9622895/9623263/9623300,5
VIS,2021,Exact Analytical Parallel Vectors,10.1109/VIS49827.2021.9623310,http://dx.doi.org/10.1109/VIS49827.2021.9623310,101,105,C,"This paper demonstrates that parallel vector curves are piecewise cubic rational curves in 3D piecewise linear vector fields. Parallel vector curves—loci of points where two vector fields are parallel— have been widely used to extract features including ridges, valleys, and vortex core lines in scientific data. We define the term generalized and underdetermined eigensystem in the form of Ax + a = $\lambda$(Bx + b) in order to derive the piecewise rational representation of 3D parallel vector curves. We discuss how singularities of the rationals lead to different types of intersections with tetrahedral cells.",Hanqi Guo;Tom Peterka,Hanqi Guo;Tom Peterka,"Mathematics and Computer Science Division, Argonne National Laboratory;Mathematics and Computer Science Division, Argonne National Laboratory",,,,,15,,,,9623310,/mediastore/IEEE/content/media/9622895/9623263/9623310,3
VIS,2021,Uncertainty Visualization of the Marching Squares and Marching Cubes Topology Cases,10.1109/VIS49827.2021.9623267,http://dx.doi.org/10.1109/VIS49827.2021.9623267,106,110,C,"Marching squares (MS) and marching cubes (MC) are widely used algorithms for level-set visualization of scientific data. In this paper, we address the challenge of uncertainty visualization of the topology cases of the MS and MC algorithms for uncertain scalar field data sampled on a uniform grid. The visualization of the MS and MC topology cases for uncertain data is challenging due to their exponential nature and the possibility of multiple topology cases per cell of a grid. We propose the topology case count and entropy-based techniques for quantifying uncertainty in the topology cases of the MS and MC algorithms when noise in data is modeled with probability distributions. We demonstrate the applicability of our techniques for independent and correlated uncertainty assumptions. We visualize the quantified topological uncertainty via color mapping proportional to uncertainty, as well as with interactive probability queries in the MS case and entropy isosurfaces in the MC case. We demonstrate the utility of our uncertainty quantification framework in identifying the isovalues exhibiting relatively high topological uncertainty. We illustrate the effectiveness of our techniques via results on synthetic, simulation, and hixel datasets.",Tushar M. Athawale;Sudhanshu Sane;Chris R. Johnson,Tushar M. Athawale;Sudhanshu Sane;Chris R. Johnson,"Scientific Computing & Imaging (SCI) Institute, University of Utah;Scientific Computing & Imaging (SCI) Institute, University of Utah;Scientific Computing & Imaging (SCI) Institute, University of Utah",,"Human-centered computing,Visualization,Visualization application domains,Scientific visualization",,,27,,,,9623267,/mediastore/IEEE/content/media/9622895/9623263/9623267,5
VIS,2021,Intercept Graph: An Interactive Radial Visualization for Comparison of State Changes,10.1109/VIS49827.2021.9623307,http://dx.doi.org/10.1109/VIS49827.2021.9623307,111,115,C,"State change comparison of multiple data items is often necessary in multiple application domains, such as medical science, financial engineering, sociology, biological science, etc. Slope graphs and grouped bar charts have been widely used to show a “before-and-after” story of different data states and indicate their changes. However, they visualize state changes as either slope or difference of bars, which has been proved less effective for quantitative comparison. Also, both visual designs suffer from visual clutter issues with an increasing number of data items. In this paper, we propose Intercept Graph, a novel visual design to facilitate effective interactive comparison of state changes. Specifically, a radial design is proposed to visualize the starting and ending states of each data item and the line segment length explicitly encodes the “state change By interactively adjusting the radius of the inner circular axis, Intercept Graph can smoothly filter the large state changes and magnify the difference between similar state changes, mitigating the visual clutter issues and enhancing the effective comparison of state changes. We conducted a case study through comparing Intercept Graph with slope graphs and grouped bar charts on real datasets to demonstrate the effectiveness of Intercept Graph.",Shaolun Ruan;Yong Wang;Qiang Guan,Shaolun Ruan;Yong Wang;Qiang Guan,Kent State University;Singapore Management University;Kent State University,,"Visual representation design,Interaction,State change comparison,Radial visualization",,,23,,,,9623307,/mediastore/IEEE/content/media/9622895/9623263/9623307,4
